cart_id,customer_id,customer_name,customer_email,customer_phone,customer_segment,customer_tone,device,geo,cart_value,num_items,products,time_since_abandonment_hours,previous_purchases,price_sensitivity,intent_score,abandonment_reason,cart_adds_last_month,all_items_in_stock,abandonment_timestamp
CART5030,CUST1030,Customer 31,cust1030@example.com,+918340505846,new,professional,mobile,NZ,2416.81,5,"[{""product_id"": ""PROD2300"", ""product_name"": ""Fashion Item 1"", ""category"": ""Fashion"", ""price"": 44.46, ""quantity"": 2}, {""product_id"": ""PROD2301"", ""product_name"": ""Fashion Item 2"", ""category"": ""Fashion"", ""price"": 49.82, ""quantity"": 1}, {""product_id"": ""PROD2302"", ""product_name"": ""Electronics Item 3"", ""category"": ""Electronics"", ""price"": 533.95, ""quantity"": 3}, {""product_id"": ""PROD2303"", ""product_name"": ""Books Item 4"", ""category"": ""Books"", ""price"": 6.13, ""quantity"": 1}, {""product_id"": ""PROD2304"", ""product_name"": ""Electronics Item 5"", ""category"": ""Electronics"", ""price"": 670.09, ""quantity"": 1}]",29,0,0.13,0.35,price_too_high,18,True,2025-11-08T16:14:41.488452
CART5031,CUST1031,Customer 32,cust1031@example.com,+917801823908,returning,casual,mobile,NZ,2126.31,2,"[{""product_id"": ""PROD2310"", ""product_name"": ""Home Item 1"", ""category"": ""Home"", ""price"": 42.21, ""quantity"": 3}, {""product_id"": ""PROD2311"", ""product_name"": ""Electronics Item 2"", ""category"": ""Electronics"", ""price"": 999.84, ""quantity"": 2}]",49,10,0.59,0.53,price_too_high,17,True,2025-11-07T20:14:41.488654
CART5032,CUST1032,Customer 33,cust1032@example.com,+916946785248,returning,enthusiastic,mobile,IN,1555.51,4,"[{""product_id"": ""PROD2320"", ""product_name"": ""Electronics Item 1"", ""category"": ""Electronics"", ""price"": 780.91, ""quantity"": 1}, {""product_id"": ""PROD2321"", ""product_name"": ""Books Item 2"", ""category"": ""Books"", ""price"": 36.96, ""quantity"": 3}, {""product_id"": ""PROD2322"", ""product_name"": ""Sports Item 3"", ""category"": ""Sports"", ""price"": 297.3, ""quantity"": 2}, {""product_id"": ""PROD2323"", ""product_name"": ""Fashion Item 4"", ""category"": ""Fashion"", ""price"": 69.12, ""quantity"": 1}]",1,2,0.27,0.42,high_shipping_cost,17,True,2025-11-09T20:14:41.488900
CART5033,CUST1033,Customer 34,cust1033@example.com,+917929338154,new,enthusiastic,mobile,UK,358.83,2,"[{""product_id"": ""PROD2330"", ""product_name"": ""Fashion Item 1"", ""category"": ""Fashion"", ""price"": 81.91, ""quantity"": 3}, {""product_id"": ""PROD2331"", ""product_name"": ""Home Item 2"", ""category"": ""Home"", ""price"": 113.1, ""quantity"": 1}]",54,0,0.97,0.35,comparison_shopping,17,True,2025-11-07T15:14:41.489086
CART5034,CUST1034,Customer 35,cust1034@example.com,+918530876844,new,enthusiastic,desktop,UK,332.26,2,"[{""product_id"": ""PROD2340"", ""product_name"": ""Home Item 1"", ""category"": ""Home"", ""price"": 87.5, ""quantity"": 2}, {""product_id"": ""PROD2341"", ""product_name"": ""Beauty Item 2"", ""category"": ""Beauty"", ""price"": 78.63, ""quantity"": 2}]",30,0,0.55,0.35,payment_failure,6,True,2025-11-08T15:14:41.489276
CART5035,CUST1035,Customer 36,cust1035@example.com,+917194819984,vip,professional,desktop,US,647.36,1,"[{""product_id"": ""PROD2350"", ""product_name"": ""Sports Item 1"", ""category"": ""Sports"", ""price"": 323.68, ""quantity"": 2}]",56,0,0.49,0.45,long_checkout_process,2,True,2025-11-07T13:14:41.489447
CART5036,CUST1036,Customer 37,cust1036@example.com,+919476477323,new,professional,desktop,NZ,1390.87,3,"[{""product_id"": ""PROD2360"", ""product_name"": ""Home Item 1"", ""category"": ""Home"", ""price"": 175.06, ""quantity"": 3}, {""product_id"": ""PROD2361"", ""product_name"": ""Home Item 2"", ""category"": ""Home"", ""price"": 67.48, ""quantity"": 1}, {""product_id"": ""PROD2362"", ""product_name"": ""Home Item 3"", ""category"": ""Home"", ""price"": 266.07, ""quantity"": 3}]",32,0,0.17,0.42,comparison_shopping,5,True,2025-11-08T13:14:41.489654
CART5037,CUST1037,Customer 38,cust1037@example.com,+919733616459,new,professional,mobile,IN,3081.99,5,"[{""product_id"": ""PROD2370"", ""product_name"": ""Electronics Item 1"", ""category"": ""Electronics"", ""price"": 620.39, ""quantity"": 2}, {""product_id"": ""PROD2371"", ""product_name"": ""Fashion Item 2"", ""category"": ""Fashion"", ""price"": 36.74, ""quantity"": 2}, {""product_id"": ""PROD2372"", ""product_name"": ""Sports Item 3"", ""category"": ""Sports"", ""price"": 145.59, ""quantity"": 2}, {""product_id"": ""PROD2373"", ""product_name"": ""Electronics Item 4"", ""category"": ""Electronics"", ""price"": 733.03, ""quantity"": 2}, {""product_id"": ""PROD2374"", ""product_name"": ""Books Item 5"", ""category"": ""Books"", ""price"": 10.49, ""quantity"": 1}]",26,0,0.87,0.35,comparison_shopping,15,True,2025-11-08T19:14:41.489906
CART5038,CUST1038,Customer 39,cust1038@example.com,+916027911967,vip,professional,desktop,US,812.94,2,"[{""product_id"": ""PROD2380"", ""product_name"": ""Sports Item 1"", ""category"": ""Sports"", ""price"": 48.38, ""quantity"": 3}, {""product_id"": ""PROD2381"", ""product_name"": ""Home Item 2"", ""category"": ""Home"", ""price"": 222.6, ""quantity"": 3}]",23,13,0.75,0.32,payment_failure,6,True,2025-11-08T22:14:41.490095
CART5039,CUST1039,Customer 40,cust1039@example.com,+919259052811,new,casual,desktop,NZ,2202.87,2,"[{""product_id"": ""PROD2390"", ""product_name"": ""Electronics Item 1"", ""category"": ""Electronics"", ""price"": 1056.64, ""quantity"": 2}, {""product_id"": ""PROD2391"", ""product_name"": ""Fashion Item 2"", ""category"": ""Fashion"", ""price"": 89.59, ""quantity"": 1}]",17,0,0.34,0.58,payment_failure,3,True,2025-11-09T04:14:41.490292
CART5040,CUST1040,Customer 41,cust1040@example.com,+919460967357,returning,enthusiastic,desktop,US,18.93,1,"[{""product_id"": ""PROD2400"", ""product_name"": ""Beauty Item 1"", ""category"": ""Beauty"", ""price"": 18.93, ""quantity"": 1}]",6,3,0.65,0.64,comparison_shopping,13,True,2025-11-09T15:14:41.490448
CART5041,CUST1041,Customer 42,cust1041@example.com,+916685731524,vip,casual,mobile,UK,2353.07,4,"[{""product_id"": ""PROD2410"", ""product_name"": ""Books Item 1"", ""category"": ""Books"", ""price"": 11.53, ""quantity"": 2}, {""product_id"": ""PROD2411"", ""product_name"": ""Books Item 2"", ""category"": ""Books"", ""price"": 11.07, ""quantity"": 3}, {""product_id"": ""PROD2412"", ""product_name"": ""Electronics Item 3"", ""category"": ""Electronics"", ""price"": 372.21, ""quantity"": 3}, {""product_id"": ""PROD2413"", ""product_name"": ""Sports Item 4"", ""category"": ""Sports"", ""price"": 393.39, ""quantity"": 3}]",6,1,0.58,0.85,distracted,6,False,2025-11-09T15:14:41.490675
CART5042,CUST1042,Customer 43,cust1042@example.com,+918998485882,returning,professional,desktop,IN,1180.14,2,"[{""product_id"": ""PROD2420"", ""product_name"": ""Home Item 1"", ""category"": ""Home"", ""price"": 184.34, ""quantity"": 3}, {""product_id"": ""PROD2421"", ""product_name"": ""Sports Item 2"", ""category"": ""Sports"", ""price"": 313.56, ""quantity"": 2}]",26,5,0.71,0.42,site_crash,17,True,2025-11-08T19:14:41.490857
CART5043,CUST1043,Customer 44,cust1043@example.com,+917815115025,returning,professional,mobile,IN,1459.48,3,"[{""product_id"": ""PROD2430"", ""product_name"": ""Beauty Item 1"", ""category"": ""Beauty"", ""price"": 32.44, ""quantity"": 3}, {""product_id"": ""PROD2431"", ""product_name"": ""Electronics Item 2"", ""category"": ""Electronics"", ""price"": 632.31, ""quantity"": 2}, {""product_id"": ""PROD2432"", ""product_name"": ""Sports Item 3"", ""category"": ""Sports"", ""price"": 48.77, ""quantity"": 2}]",13,7,0.81,0.45,long_checkout_process,9,True,2025-11-09T08:14:41.491070
CART5044,CUST1044,Customer 45,cust1044@example.com,+917461364854,returning,professional,mobile,UK,672.96,1,"[{""product_id"": ""PROD2440"", ""product_name"": ""Sports Item 1"", ""category"": ""Sports"", ""price"": 336.48, ""quantity"": 2}]",9,1,0.18,0.34,price_too_high,8,True,2025-11-09T12:14:41.491227
CART5045,CUST1045,Customer 46,cust1045@example.com,+917193448329,returning,professional,desktop,IN,757.98,5,"[{""product_id"": ""PROD2450"", ""product_name"": ""Home Item 1"", ""category"": ""Home"", ""price"": 209.6, ""quantity"": 2}, {""product_id"": ""PROD2451"", ""product_name"": ""Books Item 2"", ""category"": ""Books"", ""price"": 17.56, ""quantity"": 1}, {""product_id"": ""PROD2452"", ""product_name"": ""Fashion Item 3"", ""category"": ""Fashion"", ""price"": 71.02, ""quantity"": 3}, {""product_id"": ""PROD2453"", ""product_name"": ""Books Item 4"", ""category"": ""Books"", ""price"": 36.49, ""quantity"": 1}, {""product_id"": ""PROD2454"", ""product_name"": ""Books Item 5"", ""category"": ""Books"", ""price"": 23.89, ""quantity"": 3}]",15,0,0.23,0.84,distracted,2,True,2025-11-09T06:14:41.491479
CART5046,CUST1046,Customer 47,cust1046@example.com,+916667779376,vip,enthusiastic,mobile,UK,1268.66,3,"[{""product_id"": ""PROD2460"", ""product_name"": ""Home Item 1"", ""category"": ""Home"", ""price"": 120.42, ""quantity"": 3}, {""product_id"": ""PROD2461"", ""product_name"": ""Sports Item 2"", ""category"": ""Sports"", ""price"": 210.78, ""quantity"": 2}, {""product_id"": ""PROD2462"", ""product_name"": ""Home Item 3"", ""category"": ""Home"", ""price"": 242.92, ""quantity"": 2}]",57,0,0.71,0.77,high_shipping_cost,4,True,2025-11-07T12:14:41.491684
